experiment_id,ft_on,collision_on,success,min_distance,rate,duration,stress_avoidance_performance_avr,stress_avoidance_performance_ever_zero,start_time,final_task_error,is_replanning_needed,num_replanning_attempts,executed_path_length
1,1,1,1,0.0003644536609896517,33.30822008330093,42.512028456,0.9953274595905209,0,2024-09-29-15-50-07,6.466095018895017e-05,0,0,0.6473912430357079
2,1,1,1,0.0014935097722444213,31.171706187906334,73.688619614,0.9961390811626327,0,2024-09-29-15-51-12,0.00014407931686285746,0,0,1.155766638052557
3,1,1,1,-3.168305403422651e-07,31.58012056097295,49.524826765,0.9950152799396123,0,2024-09-29-15-53-03,2.5609069507132158e-05,0,0,0.765060869165565
4,1,1,1,0.002196333262857901,32.06679066008383,32.993635416000004,0.987399019531672,0,2024-09-29-15-54-19,7.994880185976401e-05,0,0,0.7235131413229579
5,1,1,1,0.00317536755737565,31.245408602115685,49.767312049,0.9946978947328157,0,2024-09-29-15-55-11,4.4651365745592005e-05,0,0,0.8715185641101768
6,1,1,1,0.004307086627896734,30.784209504455227,59.153703451,0.9923895132574722,0,2024-09-29-15-56-27,8.795849887994387e-05,0,0,1.0990381732038979
7,1,1,1,-2.235453073577106e-08,31.06888232015544,72.645033598,0.9969269095026646,0,2024-09-29-15-57-57,1.9387468833254682e-05,0,0,0.7260285941573151
8,1,1,1,-8.200773062389387e-08,30.231472150783652,84.911511659,0.9968725105663458,0,2024-09-29-15-59-46,0.00017437736633183713,0,0,1.2646566564168653
9,1,1,1,3.810247256802271e-06,30.787660576392202,64.376440525,0.9906486258671772,0,2024-09-29-16-01-53,5.526959557411828e-05,0,0,1.014335748640993
10,1,1,1,0.001361565723751627,30.715671432646445,77.745329619,0.9968038623959574,0,2024-09-29-16-03-30,0.00016762559450249137,0,0,1.1517616792295184
11,1,1,1,0.006112010493280209,32.18713729877678,51.573396683,0.9945441521878127,0,2024-09-29-16-05-25,0.0003801302019561514,0,0,1.3703188978332541
12,1,1,1,0.0019323280215362616,30.39697452736806,74.744280815,0.9966176415042816,0,2024-09-29-16-06-44,6.812726591761579e-05,0,0,1.1027152884731306
13,1,1,1,0.001026683866955915,32.47898749343262,87.995353937,0.9392042809301133,0,2024-09-29-16-08-36,8.965662565316537e-05,1,1,1.3458219873404047
14,1,1,1,0.0015894250870476317,30.33381081514837,100.086336613,0.9948914520114166,0,2024-09-29-16-10-47,0.00016480057743374564,0,0,1.3957058463290075
15,1,1,1,-0.00047828002376091536,30.764469093607314,129.109980345,0.8780636256757149,0,2024-09-29-16-13-16,2.0965459175996064e-05,1,1,1.0391841630527967
16,1,1,1,0.0009119440561748231,29.392171781576828,54.640399217,0.9961285103420248,0,2024-09-29-16-16-27,5.5809229262834276e-05,0,0,0.9051329251201178
17,1,1,1,-1.6702146725306425e-07,32.02701785658829,163.330848455,0.9523020552014025,0,2024-09-29-16-17-50,5.1329460852142915e-05,1,1,1.818510970969544
18,1,1,1,0.009009274825897973,32.82184324475015,59.838199377,0.9946702676197515,0,2024-09-29-16-21-50,0.00045880287693272307,0,0,1.438290724819596
19,1,1,1,-1.3124717532995267e-07,30.931612070088914,69.346531152,0.994224085109411,0,2024-09-29-16-23-21,0.00021519561257974293,0,0,1.147809853328955
20,1,1,1,-2.724543074961013e-07,30.38039048945563,50.822256565,0.994527644475184,0,2024-09-29-16-25-05,4.78279366088766e-05,0,0,0.9628979126718734
